           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.46500000   314.52126985   262.86671653    -0.01092237   666.62423578   554.87846553    -0.04033304     0.00000100    -0.00000119     0.00013372    19.81900000     0.03736215     0.40513867  1981.67139371
     0.47000000   317.85387767   265.64055925    -0.01112459   666.41891542   554.65864353    -0.04055379     0.00000101    -0.00000120     0.00013523    19.81900000     0.03735970     0.40511186  1981.50586608
     0.47500000   321.18545925   268.41330319    -0.01132790   666.21374017   554.43895759    -0.04077016     0.00000102    -0.00000121     0.00013675    19.81900000     0.03735725     0.40508505  1981.34042561
     0.48000000   324.51601531   271.18494905    -0.01153229   666.00870987   554.21940756    -0.04098216     0.00000102    -0.00000122     0.00013827    19.81900000     0.03735480     0.40505824  1981.17507221
     0.48500000   327.84554659   273.95549749    -0.01173772   665.80382436   553.99999330    -0.04118979     0.00000103    -0.00000122     0.00013979    19.81900000     0.03735235     0.40503143  1981.00980582
     0.49000000   331.17405380   276.72494921    -0.01194418   665.59908348   553.78071467    -0.04139306     0.00000103    -0.00000123     0.00014132    19.81900000     0.03734990     0.40500462  1980.84462635
     0.49500000   334.50153766   279.49330487    -0.01215164   665.39448709   553.56157151    -0.04159197     0.00000104    -0.00000124     0.00014284    19.81900000     0.03734745     0.40497781  1980.67953372
     0.50000000   337.82799891   282.26056515    -0.01236009   665.19003503   553.34256368    -0.04178653     0.00000104    -0.00000124     0.00014437    19.81900000     0.03734500     0.40495100  1980.51452786
     0.50500000   341.15343825   285.02673073    -0.01256950   664.98572713   553.12369104    -0.04197673     0.00000105    -0.00000125     0.00014589    19.81900000     0.03734255     0.40492419  1980.34960869
     0.51000000   344.47785642   287.79180228    -0.01277985   664.78156325   552.90495343    -0.04216260     0.00000106    -0.00000126     0.00014742    19.81900000     0.03734010     0.40489738  1980.18477614
     0.51500000   347.80125412   290.55578049    -0.01299112   664.57754322   552.68635072    -0.04234412     0.00000106    -0.00000126     0.00014896    19.81900000     0.03733765     0.40487057  1980.02003013
     0.52000000   351.12363209   293.31866602    -0.01320328   664.37366690   552.46788276    -0.04252131     0.00000107    -0.00000127     0.00015049    19.81900000     0.03733520     0.40484376  1979.85537058
     0.52500000   354.44499103   296.08045954    -0.01341632   664.16993413   552.24954941    -0.04269416     0.00000107    -0.00000127     0.00015202    19.81900000     0.03733275     0.40481695  1979.69079741
     0.53000000   357.76533167   298.84116173    -0.01363022   663.96634476   552.03135052    -0.04286269     0.00000108    -0.00000128     0.00015356    19.81900000     0.03733030     0.40479014  1979.52631056
     0.53500000   361.08465472   301.60077327    -0.01384494   663.76289862   551.81328594    -0.04302690     0.00000108    -0.00000128     0.00015510    19.81900000     0.03732785     0.40476333  1979.36190994
     0.54000000   364.40296089   304.35929482    -0.01406048   663.55959558   551.59535554    -0.04318679     0.00000108    -0.00000129     0.00015664    19.81900000     0.03732540     0.40473652  1979.19759547
     0.54500000   367.72025091   307.11672705    -0.01427681   663.35643547   551.37755916    -0.04334237     0.00000109    -0.00000130     0.00015818    19.81900000     0.03732295     0.40470971  1979.03336710
     0.55000000   371.03652549   309.87307063    -0.01449390   663.15341813   551.15989667    -0.04349364     0.00000109    -0.00000130     0.00015972    19.81900000     0.03732050     0.40468290  1978.86922472
     0.55500000   374.35178533   312.62832624    -0.01471173   662.95054343   550.94236793    -0.04364061     0.00000110    -0.00000131     0.00016127    19.81900000     0.03731805     0.40465609  1978.70516828
     0.56000000   377.66603116   315.38249453    -0.01493030   662.74781119   550.72497278    -0.04378328     0.00000110    -0.00000131     0.00016282    19.81900000     0.03731560     0.40462928  1978.54119770
     0.56500000   380.97926368   318.13557619    -0.01514956   662.54522128   550.50771109    -0.04392165     0.00000111    -0.00000132     0.00016437    19.81900000     0.03731315     0.40460247  1978.37731289
     0.57000000   384.29148361   320.88757187    -0.01536951   662.34277354   550.29058272    -0.04405573     0.00000111    -0.00000132     0.00016592    19.81900000     0.03731070     0.40457566  1978.21351379
     0.57500000   387.60269165   323.63848224    -0.01559011   662.14046782   550.07358751    -0.04418553     0.00000111    -0.00000132     0.00016747    19.81900000     0.03730825     0.40454885  1978.04980032
