           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.22500000   141.55030048   141.30368526    -0.00296856   624.74523995   622.55815113    -0.02490104     0.00000066    -0.00000066     0.00005812    19.81865099     0.03747973     0.40642531  1989.72566432
     0.23000000   144.67355177   144.41588044    -0.00309420   624.55530409   622.31995080    -0.02535398     0.00000067    -0.00000067     0.00005945    19.81863603     0.03747728     0.40639848  1989.55607119
     0.23500000   147.79585380   147.52688508    -0.00322210   624.36553875   622.08193543    -0.02580264     0.00000069    -0.00000069     0.00006078    19.81862101     0.03747482     0.40637165  1989.38657303
     0.24000000   150.91720741   150.63670007    -0.00335222   624.17592401   621.84408517    -0.02624701     0.00000070    -0.00000070     0.00006211    19.81860597     0.03747237     0.40634482  1989.21716975
     0.24500000   154.03761320   153.74532611    -0.00348456   623.98640073   621.60634108    -0.02668710     0.00000071    -0.00000071     0.00006344    19.81859107     0.03746992     0.40631800  1989.04786127
     0.25000000   157.15707150   156.85276359    -0.00361908   623.79693019   621.36866459    -0.02712293     0.00000072    -0.00000072     0.00006477    19.81857639     0.03746747     0.40629117  1988.87864750
     0.25500000   160.27558265   159.95901293    -0.00375578   623.60755370   621.13109682    -0.02755449     0.00000073    -0.00000073     0.00006611    19.81856184     0.03746502     0.40626434  1988.70952837
     0.26000000   163.39314740   163.06407494    -0.00389462   623.41839794   620.89376396    -0.02798178     0.00000075    -0.00000075     0.00006744    19.81854710     0.03746257     0.40623751  1988.54050380
     0.26500000   166.50976734   166.16795130    -0.00403559   623.22966689   620.65686911    -0.02840480     0.00000076    -0.00000076     0.00006878    19.81853165     0.03746011     0.40621068  1988.37157366
     0.27000000   169.62544510   169.27064469    -0.00417866   623.04155239   620.42060324    -0.02882355     0.00000077    -0.00000077     0.00007012    19.81851502     0.03745766     0.40618384  1988.20273779
     0.27500000   172.74018405   172.37215854    -0.00432382   622.85414479   620.18505624    -0.02923801     0.00000078    -0.00000078     0.00007146    19.81849698     0.03745521     0.40615701  1988.03399601
     0.28000000   175.85398770   175.47249643    -0.00447104   622.66742492   619.95020891    -0.02964819     0.00000079    -0.00000079     0.00007280    19.81847758     0.03745276     0.40613018  1987.86534814
     0.28500000   178.96685924   178.57166159    -0.00462029   622.48126767   619.71593660    -0.03005412     0.00000080    -0.00000080     0.00007415    19.81845712     0.03745031     0.40610334  1987.69679398
     0.29000000   182.07880100   181.66965644    -0.00477157   622.29548204   619.48204908    -0.03045579     0.00000082    -0.00000082     0.00007549    19.81843609     0.03744785     0.40607651  1987.52833341
     0.29500000   185.18981432   184.76648236    -0.00492484   622.10985101   619.24833025    -0.03085322     0.00000083    -0.00000083     0.00007684    19.81841503     0.03744540     0.40604967  1987.35996629
     0.30000000   188.29989937   187.86213962    -0.00508010   621.92413521   619.01454185    -0.03124644     0.00000084    -0.00000084     0.00007819    19.81839454     0.03744295     0.40602283  1987.19169258
     0.30500000   191.40905510   190.95662724    -0.00523730   621.73808217   618.78043261    -0.03163547     0.00000085    -0.00000085     0.00007954    19.81837524     0.03744050     0.40599600  1987.02351224
     0.31000000   194.51727934   194.04994313    -0.00539644   621.55152792   618.54583941    -0.03202032     0.00000086    -0.00000086     0.00008089    19.81835754     0.03743804     0.40596916  1986.85542529
     0.31500000   197.62456957   197.14208486    -0.00555750   621.36449863   618.31078837    -0.03240099     0.00000087    -0.00000087     0.00008224    19.81834139     0.03743559     0.40594232  1986.68743176
     0.32000000   200.73092390   200.23305061    -0.00572045   621.17721974   618.07550389    -0.03277748     0.00000088    -0.00000088     0.00008360    19.81832621     0.03743314     0.40591548  1986.51953166
     0.32500000   203.83634204   203.32284018    -0.00588527   620.99009876   617.84039148    -0.03314976     0.00000089    -0.00000089     0.00008495    19.81831100     0.03743068     0.40588864  1986.35172494
     0.33000000   206.94082583   206.41145549    -0.00605194   620.80353672   617.60585010    -0.03351782     0.00000090    -0.00000090     0.00008631    19.81829473     0.03742823     0.40586179  1986.18401146
     0.33500000   210.04437869   209.49889999    -0.00622044   620.61773965   617.37208463    -0.03388164     0.00000091    -0.00000091     0.00008767    19.81827691     0.03742578     0.40583495  1986.01639104
     0.34000000   213.14700451   212.58517764    -0.00639075   620.43270152   617.13908894    -0.03424123     0.00000092    -0.00000092     0.00008903    19.81825755     0.03742333     0.40580811  1985.84886349
     0.34500000   216.24870663   215.67029183    -0.00656284   620.24821670   616.90665840    -0.03459660     0.00000093    -0.00000093     0.00009039    19.81823715     0.03742087     0.40578126  1985.68142861
     0.35000000   219.34948715   218.75424471    -0.00673671   620.06401657   616.67452576    -0.03494777     0.00000094    -0.00000094     0.00009176    19.81821639     0.03741842     0.40575442  1985.51408628
     0.35500000   222.44934694   221.83703725    -0.00691231   619.87990603   616.44249696    -0.03529477     0.00000095    -0.00000095     0.00009312    19.81819576     0.03741597     0.40572757  1985.34683639
     0.36000000   225.54828617   224.91866967    -0.00708965   619.69577586   616.21046338    -0.03563761     0.00000096    -0.00000096     0.00009449    19.81817552     0.03741351     0.40570072  1985.17967890
     0.36500000   228.64630462   227.99914183    -0.00726868   619.51160153   615.97840064    -0.03597630     0.00000097    -0.00000097     0.00009586    19.81815575     0.03741106     0.40567388  1985.01261373
     0.37000000   231.74340218   231.07845370    -0.00744940   619.32742955   615.74635498    -0.03631082     0.00000098    -0.00000098     0.00009723    19.81813631     0.03740861     0.40564703  1984.84564083
     0.37500000   234.83957909   234.15660558    -0.00763178   619.14336399   615.51442988    -0.03664119     0.00000099    -0.00000099     0.00009860    19.81811696     0.03740615     0.40562018  1984.67876014
     0.38000000   237.93483626   237.23359846    -0.00781581   618.95956514   615.28278468    -0.03696740     0.00000100    -0.00000100     0.00009997    19.81809729     0.03740370     0.40559333  1984.51197156
     0.38500000   241.02917554   240.30943424    -0.00800145   618.77624211   615.05162718    -0.03728943     0.00000101    -0.00000101     0.00010135    19.81807677     0.03740124     0.40556647  1984.34527497
     0.39000000   244.12259978   243.38411584    -0.00818869   618.59357034   614.82113168    -0.03760726     0.00000102    -0.00000102     0.00010273    19.81805498     0.03739879     0.40553962  1984.17867020
     0.39500000   247.21511244   246.45764677    -0.00837752   618.41160923   614.59135716    -0.03792090     0.00000103    -0.00000103     0.00010410    19.81803176     0.03739634     0.40551277  1984.01215706
     0.40000000   250.30671696   249.53003052    -0.00856790   618.23029474   614.36223984    -0.03823036     0.00000104    -0.00000104     0.00010548    19.81800726     0.03739388     0.40548591  1983.84573538
     0.40500000   253.39741616   252.60126997    -0.00875981   618.04944714   614.13360103    -0.03853566     0.00000105    -0.00000105     0.00010686    19.81798194     0.03739143     0.40545906  1983.67940499
     0.41000000   256.48721185   255.67136697    -0.00895325   617.86885610   613.90523167    -0.03883681     0.00000106    -0.00000106     0.00010825    19.81795633     0.03738897     0.40543220  1983.51316577
     0.41500000   259.57610489   258.74032247    -0.00914817   617.68836579   613.67697690    -0.03913383     0.00000107    -0.00000106     0.00010963    19.81793080     0.03738652     0.40540534  1983.34701762
     0.42000000   262.66409552   261.80813677    -0.00934458   617.50788261   613.44874373    -0.03942674     0.00000107    -0.00000107     0.00011102    19.81790560     0.03738406     0.40537848  1983.18096049
     0.42500000   265.75118367   264.87480989    -0.00954244   617.32737514   613.22050095    -0.03971555     0.00000108    -0.00000108     0.00011240    19.81788080     0.03738161     0.40535162  1983.01499430
     0.43000000   268.83736927   267.94034181    -0.00974173   617.14687434   612.99227931    -0.04000026     0.00000109    -0.00000109     0.00011379    19.81785633     0.03737916     0.40532476  1982.84911901
     0.43500000   271.92265257   271.00473287    -0.00994243   616.96647364   612.76417161    -0.04028085     0.00000110    -0.00000110     0.00011518    19.81783195     0.03737670     0.40529790  1982.68333454
     0.44000000   275.00703443   274.06798397    -0.01014453   616.78632898   612.53633273    -0.04055733     0.00000111    -0.00000111     0.00011658    19.81780726     0.03737425     0.40527103  1982.51764081
     0.44500000   278.09051664   277.13009699    -0.01034800   616.60665096   612.30897175    -0.04082968     0.00000112    -0.00000112     0.00011797    19.81778176     0.03737179     0.40524417  1982.35203770
     0.45000000   281.17310203   280.19107479    -0.01055282   616.42761910   612.08226687    -0.04109788     0.00000112    -0.00000112     0.00011936    19.81775498     0.03736934     0.40521730  1982.18652503
     0.45500000   284.25479403   283.25092087    -0.01075897   616.24929605   611.85628021    -0.04136192     0.00000113    -0.00000113     0.00012076    19.81772676     0.03736688     0.40519043  1982.02110264
     0.46000000   287.33559608   286.30963870    -0.01096643   616.07161988   611.63095016    -0.04162181     0.00000114    -0.00000114     0.00012216    19.81769727     0.03736442     0.40516356  1981.85577034
     0.46500000   290.41551101   289.36723117    -0.01117518   615.89441182   611.40609915    -0.04187759     0.00000115    -0.00000115     0.00012356    19.81766695     0.03736197     0.40513669  1981.69052796
     0.47000000   293.49454062   292.42370013    -0.01138520   615.71746103   611.18151784    -0.04212926     0.00000116    -0.00000115     0.00012496    19.81763632     0.03735951     0.40510982  1981.52537539
     0.47500000   296.57268578   295.47904653    -0.01159647   615.54060940   610.95704923    -0.04237686     0.00000116    -0.00000116     0.00012636    19.81760578     0.03735706     0.40508295  1981.36031253
     0.48000000   299.64994671   298.53327065    -0.01180896   615.36375921   610.73259632    -0.04262040     0.00000117    -0.00000117     0.00012777    19.81757557     0.03735460     0.40505607  1981.19533932
     0.48500000   302.72632331   301.58637245    -0.01202266   615.18687356   610.50812250    -0.04285988     0.00000118    -0.00000118     0.00012917    19.81754579     0.03735215     0.40502920  1981.03045570
     0.49000000   305.80181543   304.63835188    -0.01223755   615.00998121   610.28365632    -0.04309532     0.00000118    -0.00000118     0.00013058    19.81751635     0.03734969     0.40500232  1980.86566163
     0.49500000   308.87642327   307.68920919    -0.01245361   614.83318143   610.05929629    -0.04332669     0.00000119    -0.00000119     0.00013199    19.81748702     0.03734723     0.40497544  1980.70095703
     0.50000000   311.95014768   310.73894530    -0.01267081   614.65664441   609.83521127    -0.04355399     0.00000120    -0.00000120     0.00013340    19.81745737     0.03734478     0.40494856  1980.53634183
     0.50500000   315.02299054   313.78756215    -0.01288914   614.48060179   609.61163101    -0.04377720     0.00000121    -0.00000120     0.00013481    19.81742682     0.03734232     0.40492168  1980.37181588
