           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.42500000   287.89832448   240.69901515    -0.00934459   668.75865521   557.04836750    -0.03838773     0.00000095    -0.00000113     0.00012156    19.81788080     0.03738161     0.40535162  1982.99627101
     0.43000000   291.24162754   243.48372635    -0.00953717   668.56257535   556.83611958    -0.03864277     0.00000096    -0.00000114     0.00012306    19.81785633     0.03737916     0.40532476  1982.82996204
     0.43500000   294.58395040   246.26737651    -0.00973102   668.36659822   556.62397178    -0.03889338     0.00000096    -0.00000115     0.00012456    19.81783195     0.03737670     0.40529790  1982.66373915
     0.44000000   297.92529397   249.04996646    -0.00992610   668.17089275   556.41206479    -0.03913955     0.00000097    -0.00000115     0.00012606    19.81780726     0.03737425     0.40527103  1982.49760225
     0.44500000   301.26566016   251.83149788    -0.01012240   667.97568712   556.20058855    -0.03938126     0.00000098    -0.00000116     0.00012756    19.81778176     0.03737179     0.40524417  1982.33155123
     0.45000000   304.60505201   254.61197335    -0.01031990   667.78117578   555.98970491    -0.03961850     0.00000098    -0.00000117     0.00012907    19.81775498     0.03736934     0.40521730  1982.16558593
     0.45500000   307.94347320   257.39139602    -0.01051858   667.58742665   555.77947032    -0.03985125     0.00000099    -0.00000118     0.00013058    19.81772676     0.03736688     0.40519043  1981.99970617
     0.46000000   311.28092744   260.16976905    -0.01071841   667.39437263   555.56982882    -0.04007954     0.00000100    -0.00000119     0.00013209    19.81769727     0.03736442     0.40516356  1981.83391179
     0.46500000   314.61741776   262.94709503    -0.01091937   667.20182006   555.36061911    -0.04030337     0.00000100    -0.00000119     0.00013360    19.81766695     0.03736197     0.40513669  1981.66820263
     0.47000000   317.95294609   265.72337564    -0.01112144   667.00954057   555.15165102    -0.04052279     0.00000101    -0.00000120     0.00013511    19.81763632     0.03735951     0.40510982  1981.50257857
     0.47500000   321.28751334   268.49861170    -0.01132459   666.81736286   554.94278198    -0.04073781     0.00000101    -0.00000121     0.00013662    19.81760578     0.03735706     0.40508295  1981.33703952
     0.48000000   324.62111971   271.27280347    -0.01152881   666.62518110   554.73392388    -0.04094845     0.00000102    -0.00000121     0.00013814    19.81757557     0.03735460     0.40505607  1981.17158544
     0.48500000   327.95376507   274.04595090    -0.01173407   666.43295531   554.52504348    -0.04115473     0.00000103    -0.00000122     0.00013966    19.81754579     0.03735215     0.40502920  1981.00621627
     0.49000000   331.28544924   276.81805391    -0.01194035   666.24071667   554.31616671    -0.04135664     0.00000103    -0.00000123     0.00014118    19.81751635     0.03734969     0.40500232  1980.84093197
     0.49500000   334.61617239   279.58911271    -0.01214763   666.04857273   554.10738308    -0.04155417     0.00000104    -0.00000123     0.00014270    19.81748702     0.03734723     0.40497544  1980.67573248
     0.50000000   337.94593542   282.35912814    -0.01235588   665.85670787   553.89884595    -0.04174731     0.00000104    -0.00000124     0.00014422    19.81745737     0.03734478     0.40494856  1980.51061771
     0.50500000   341.27474035   285.12810193    -0.01256509   665.66537303   553.69076402    -0.04193603     0.00000105    -0.00000125     0.00014574    19.81742682     0.03734232     0.40492168  1980.34558756
     0.51000000   344.60259039   287.89603683    -0.01277523   665.47477274   553.48330732    -0.04212031     0.00000105    -0.00000125     0.00014727    19.81739489     0.03733986     0.40489480  1980.18064185
     0.51500000   347.92948939   290.66293612    -0.01298629   665.28495221   553.27651338    -0.04230014     0.00000106    -0.00000126     0.00014880    19.81736148     0.03733741     0.40486791  1980.01578041
     0.52000000   351.25544102   293.42880291    -0.01319823   665.09578716   553.07027872    -0.04247554     0.00000106    -0.00000126     0.00015032    19.81732689     0.03733495     0.40484103  1979.85100307
     0.52500000   354.58044789   296.19363945    -0.01341103   664.90699901   552.86437162    -0.04264654     0.00000107    -0.00000127     0.00015185    19.81729174     0.03733249     0.40481414  1979.68630969
     0.53000000   357.90451118   298.95744679    -0.01362469   664.71832171   552.65857079    -0.04281320     0.00000107    -0.00000128     0.00015339    19.81725665     0.03733004     0.40478725  1979.52170018
     0.53500000   361.22763113   301.72022521    -0.01383916   664.52966841   552.45280403    -0.04297552     0.00000108    -0.00000128     0.00015492    19.81722183     0.03732758     0.40476036  1979.35717447
     0.54000000   364.54980807   304.48197503    -0.01405443   664.34114663   552.24716072    -0.04313350     0.00000108    -0.00000129     0.00015645    19.81718702     0.03732512     0.40473347  1979.19273252
     0.54500000   367.87104329   307.24269742    -0.01427049   664.15304166   552.04187799    -0.04328710     0.00000109    -0.00000129     0.00015799    19.81715156     0.03732266     0.40470657  1979.02837421
     0.55000000   371.19133966   310.00239481    -0.01448730   663.96563542   551.83719010    -0.04343627     0.00000109    -0.00000130     0.00015953    19.81711481     0.03732021     0.40467968  1978.86409942
     0.55500000   374.51070099   312.76107046    -0.01470484   663.77902531   551.63317790    -0.04358102     0.00000109    -0.00000130     0.00016107    19.81707654     0.03731775     0.40465278  1978.69990795
     0.56000000   377.82913108   315.51872758    -0.01492310   663.59310782   551.42975526    -0.04372136     0.00000110    -0.00000131     0.00016261    19.81703698     0.03731529     0.40462588  1978.53579964
     0.56500000   381.14663274   318.27536859    -0.01514205   663.40759542   551.22668317    -0.04385732     0.00000110    -0.00000131     0.00016415    19.81699681     0.03731283     0.40459898  1978.37177434
     0.57000000   384.46320722   321.03099459    -0.01536167   663.22220140   551.02372334    -0.04398897     0.00000111    -0.00000132     0.00016570    19.81695667     0.03731037     0.40457208  1978.20783195
     0.57500000   387.77885477   323.78560586    -0.01558193   663.03682466   550.82079178    -0.04411631     0.00000111    -0.00000132     0.00016725    19.81691681     0.03730791     0.40454517  1978.04397243
     0.58000000   391.09357565   326.53920268    -0.01580282   662.85156645   550.61797260    -0.04423933     0.00000111    -0.00000132     0.00016879    19.81687699     0.03730546     0.40451827  1977.88019570
     0.58500000   394.40737111   329.29178617    -0.01602432   662.66671348   550.41550393    -0.04435800     0.00000112    -0.00000133     0.00017034    19.81683654     0.03730300     0.40449136  1977.71650168
     0.59000000   397.72024395   332.04335872    -0.01624640   662.48255277   550.21362411    -0.04447228     0.00000112    -0.00000133     0.00017190    19.81679481     0.03730054     0.40446445  1977.55289022
     0.59500000   401.03219798   334.79392355    -0.01646903   662.29918659   550.01241798    -0.04458214     0.00000112    -0.00000134     0.00017345    19.81675155     0.03729808     0.40443754  1977.38936116
     0.60000000   404.34323699   337.54348389    -0.01669221   662.11651570   549.81180301    -0.04468762     0.00000113    -0.00000134     0.00017500    19.81670701     0.03729562     0.40441062  1977.22591430
     0.60500000   407.65336382   340.29204217    -0.01691590   661.93425604   549.61154324    -0.04478874     0.00000113    -0.00000134     0.00017656    19.81666182     0.03729316     0.40438371  1977.06254952
     0.61000000   410.96257975   343.03959951    -0.01714009   661.75212121   549.41140082    -0.04488557     0.00000113    -0.00000135     0.00017812    19.81661666     0.03729070     0.40435679  1976.89926671
     0.61500000   414.27088505   345.78615621    -0.01736475   661.57000495   549.21128752    -0.04497813     0.00000114    -0.00000135     0.00017968    19.81657176     0.03728824     0.40432987  1976.73606582
     0.62000000   417.57827996   348.53171255    -0.01758986   661.38799766   549.01127839    -0.04506640     0.00000114    -0.00000135     0.00018124    19.81652691     0.03728578     0.40430295  1976.57294679
     0.62500000   420.88476566   351.27626955    -0.01781541   661.20637073   548.81159867    -0.04515034     0.00000114    -0.00000136     0.00018280    19.81648150     0.03728332     0.40427602  1976.40990954
     0.63000000   424.19034479   354.01982948    -0.01804136   661.02540471   548.61248117    -0.04522991     0.00000114    -0.00000136     0.00018436    19.81643487     0.03728086     0.40424910  1976.24695391
     0.63500000   427.49502102   356.76239547    -0.01826770   660.84521764   548.41402375    -0.04530509     0.00000115    -0.00000136     0.00018593    19.81638675     0.03727840     0.40422217  1976.08407975
     0.64000000   430.79879817   359.50397075    -0.01849440   660.66574948   548.21617648    -0.04537590     0.00000115    -0.00000137     0.00018750    19.81633727     0.03727594     0.40419524  1975.92128688
     0.64500000   434.10167934   362.24455794    -0.01872145   660.48677410   548.01875164    -0.04544236     0.00000115    -0.00000137     0.00018907    19.81628697     0.03727347     0.40416830  1975.75857515
     0.65000000   437.40366629   364.98415860    -0.01894882   660.30803073   547.82153279    -0.04550454     0.00000115    -0.00000137     0.00019064    19.81623643     0.03727101     0.40414137  1975.59594444
     0.65500000   440.70475975   367.72277338    -0.01917649   660.12935526   547.62438375    -0.04556246     0.00000116    -0.00000137     0.00019221    19.81618604     0.03726855     0.40411443  1975.43339469
